cpu_name,cpu_marks
256MB DDR Radeon 9800 XT,37
7900 MOD - Radeon HD 6520G,610
7900 MOD - Radeon HD 6550D,892
A10-8Q,7041
A16,5235
A16-4Q,4165
A40-24Q,2616
A6 Micro-6500T Quad-Core APU with RadeonR4,220
ABIT Siluro T400,3
ALL-IN-WONDER 9000,4
ALL-IN-WONDER 9800,23
ALL-IN-WONDER RADEON 8500DV,5
All-in-Wonder X1800XL,30
All-in-Wonder X1900,127
ALL-IN-WONDER X800 GT,84
AMD Ryzen Z1 Extreme,6957
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3
ASUS A7000,9
ASUS AGP-V3800PRO v31.40H,4
ASUS EAH4870x2,496
Asus GTX 650 FML II EC-EGPU,720
ASUS V9520-X V62.11,7
B8DKMDAP,4557
Barco MXRT 1450,205
Barco MXRT 2600,900
Barco MXRT 5400,1161
Barco MXRT 5450,1079
Barco MXRT 5500,2701
Barco MXRT 5600,2465
Barco MXRT 7100,180
Barco MXRT 7400,900
Barco MXRT 7500,3753
Barco MXRT 7600,4943
BASICDISPLAY,69
Citrix Indirect Display Adapter,1888
CMP 30HX,8135
CMP 40HX,7452
CONNECT 3D RADEON X300,36
Custom GPU 0405,2860
Custom GPU 0932,3319
Dell 8100,2
Dell 8200,4
Diamond X1300-PCIE 256MB,70
EAH5450,134
EIZO Quadro MED-XN51LP,5048
Embedded Radeon E9173,1787
Eng Sample: 100-000000261-50_Y,2859
Extreme AX850 PRO,120
FireGL T2-128,30
FireGL V3100,52
FireGL V3200,84
FireGL V3300,70
FireGL V3350,68
FireGL V3400,103
FireGL V3600,179
FireGL V5100,92
FireGL V5200,114
FireGL V5600,341
FireGL V7100,71
FireGL V7200,116
FireGL V7300,128
FireGL V7350,110
FireGL V7600,615
FireGL V7700,660
FireGL V8600,838
FireGL V8650,550
FireGL X1,59
FireMV 2200 PCI,1
FireMV 2200 PCIe,36
FireMV 2250,45
FireMV 2260,117
FireMV 2400 PCIe,11
FireMV 2450,73
FirePro 2260,112
FirePro 2270,142
FirePro 2450,51
FirePro 2460,170
FirePro 3D V3700,178
FirePro 3D V3750,341
FirePro 3D V3800,472
FirePro 3D V4800,853
FirePro 3D V5700,546
FirePro 3D V5800,1231
FirePro 3D V7750,545
FirePro 3D V7800,1867
FirePro 3D V8700,1206
FirePro 3D V8750,1271
FirePro 3D V8800,2437
FirePro 3D V9800,2811
FirePro M2000,425
FirePro M4000,1593
FirePro M4000 Mobility Pro,1629
FirePro M40003,1364
Firepro M4100,1059
FirePro M4150,948
FirePro M4170,1181
FirePro M5100,2102
FirePro M5100 FireGL V,1839
FirePro M5950,1314
FirePro M6000,1820
FirePro M6000 Mobility Pro,1712
FirePro M6100,2194
FirePro M6100 FireGL V,2875
FirePro M7740,665
FirePro R5000,2646
FirePro RG220,335
FirePro S10000,4768
FirePro S7000,4523
FirePro S7150,3770
FirePro S9000,5059
FirePro S9050,4901
FirePro V3800,320
FirePro V3900,640
FirePro V4900,990
FirePro V5700,464
FirePro V5800,1175
FirePro V5900,1264
FirePro V7000,3161
FirePro V7800,2028
FirePro V7900,2304
FirePro V8700,1538
FirePro V8800,2280
FirePro V9800,2726
FirePro W2100,859
FirePro W4100,1515
FirePro W4170M,1045
Firepro W4190M,1150
FirePro W4300,2820
FirePro W5000,2984
FirePro W5100,2989
FirePro W5130M,1409
Firepro W5170M,1788
FirePro W600,1671
FirePro W6150M,2358
FirePro W7000,4246
FirePro W7000 Adapter,4359
FirePro W7100,5251
FirePro W7170M,3161
FirePro W8000,4148
FirePro W8100,7332
FirePro W9000,6138
FirePro W9100,7580
FireStream 9170,647
FireStream 9250,1164
FireStream 9270,1341
FireStream 9370,2528
GeCube RADEON 7000,8
GeForce 205,126
GeForce 210,116
GeForce 240M GT,319
GeForce 256,5
GeForce 305M,150
GeForce 310,140
GeForce 310M,118
GeForce 315,156
GeForce 315M,115
GeForce 320M,209
GeForce 405,119
GeForce 410M,257
GeForce 505,118
GeForce 510,254
GeForce 605,319
GeForce 6100,27
GeForce 6100 nForce 400,25
GeForce 6100 nForce 405,26
GeForce 6100 nForce 420,25
GeForce 6100 nForce 430,23
GeForce 610M,289
GeForce 615,514
GeForce 6150,21
GeForce 6150 LE,33
GeForce 6150SE,24
GeForce 6150SE nForce 430,30
GeForce 6200,37
GeForce 6200 A-LE,32
GeForce 6200 LE,27
GeForce 6200 TurboCache,53
GeForce 6200A,3
GeForce 6200SE TurboCache,37
GeForce 6500,38
GeForce 6600,86
GeForce 6600 GT,142
GeForce 6600 LE,51
GeForce 6610 XL,88
GeForce 6700 XL,95
GeForce 6800,112
GeForce 6800 GS,191
GeForce 6800 GS/XT,102
GeForce 6800 GT,142
GeForce 6800 LE,109
GeForce 6800 Ultra,138
GeForce 6800 XE,58
GeForce 6800 XT,123
GeForce 7000M,13
GeForce 7000M / nForce 610M,12
GeForce 7025 / nForce 630a,32
GeForce 7050 / nForce 610i,25
GeForce 7050 / nForce 620i,41
GeForce 7050 / nForce 630i,37
GeForce 7050 PV / nForce 630a,31
GeForce 705M,455
GeForce 7100 / nForce 620i,26
GeForce 7100 / nForce 630i,41
GeForce 7100 GS,51
GeForce 710A,473
GeForce 710M,458
GeForce 7150 / nForce 630i,33
GeForce 7150M / nForce 630M,18
GeForce 7200 GS,23
GeForce 720A,614
GeForce 7300 GS,78
GeForce 7300 GT,138
GeForce 7300 LE,78
GeForce 7300 SE,39
GeForce 7300 SE/7200 GS,47
GeForce 730A,770
GeForce 7350 LE,74
GeForce 7500 LE,82
GeForce 7600 GS,157
GeForce 7600 GT,224
GeForce 7650 GS,134
GeForce 770M,3245
GeForce 7800 GS,177
GeForce 7800 GT,244
GeForce 7800 GTX,290
GeForce 7900 GS,253
GeForce 7900 GT,258
GeForce 7900 GT/GTO,247
GeForce 7900 GTX,387
GeForce 7950 GT,347
GeForce 7950 GX2,201
GeForce 7950 Xtreme,287
GeForce 800A,476
GeForce 800M,457
GeForce 8100 / nForce 720a,79
GeForce 810A,655
GeForce 810M,407
GeForce 8200,155
GeForce 8200M G,58
GeForce 820A,555
GeForce 820M,494
GeForce 825M,782
GeForce 8300,101
GeForce 8300 GS,115
GeForce 830A,1187
GeForce 830M,1009
GeForce 8400,81
GeForce 8400 GS,154
GeForce 8400 SE,68
GeForce 8400M G,58
GeForce 8400M GS,100
GeForce 8400M GT,66
GeForce 840A,1123
GeForce 840M,1092
GeForce 845M,1524
GeForce 8500 GT,144
GeForce 8600 GS,91
GeForce 8600 GT,123
GeForce 8600 GTS,158
GeForce 8600M GS,70
GeForce 8600M GT,112
GeForce 8700M GT,124
GeForce 8800 GS,330
GeForce 8800 GT,471
GeForce 8800 GTS,412
GeForce 8800 GTS 512,564
GeForce 8800 GTX,590
GeForce 8800 Ultra,642
GeForce 8800M GTS,382
GeForce 8800M GTX,462
GeForce 9100,81
GeForce 9100M G,68
GeForce 910M,601
GeForce 9200,169
GeForce 9200M GE,143
GeForce 9200M GS,121
GeForce 920A,836
GeForce 920M,718
GeForce 920MX,1080
GeForce 9300,126
GeForce 9300 / nForce 730i,128
GeForce 9300 GE,80
GeForce 9300 GS,102
GeForce 9300 SE,81
GeForce 9300GE,97
GeForce 9300M G,84
GeForce 9300M GS,100
GeForce 930A,1267
GeForce 930M,1013
GeForce 930MX,1285
GeForce 9400,98
GeForce 9400 GT,161
GeForce 9400M,101
GeForce 9400M G,67
GeForce 940A,1106
GeForce 940M,1125
GeForce 940MX,1518
GeForce 9450,104
GeForce 945A,1852
GeForce 945M,2108
GeForce 9500 GS,201
GeForce 9500 GT,165
GeForce 9500M,103
