gpu_name,gpu_marks
GeForce RTX 4090,38534.0
GeForce RTX 4090 D,35334.0
GeForce RTX 4080,34617.0
RTX 5880 Ada Generation,34569.0
GeForce RTX 4080 SUPER,34275.0
GeForce RTX 4070 Ti,31824.0
GeForce RTX 4070 Ti SUPER,31795.0
Radeon RX 7900 XTX,31066.0
GeForce RTX 4070 SUPER,30148.0
RTX 4500 Ada Generation,29852.0
GeForce RTX 3090 Ti,29704.0
RTX 5000 Ada Generation,29288.0
Radeon PRO W7900,29204.0
Radeon RX 7900 XT,28974.0
RTX 6000 Ada Generation,28802.0
Radeon PRO W7800,28440.0
Radeon RX 6950 XT,28126.0
GeForce RTX 4090 Laptop GPU,27784.0
RTX 5000 Ada Generation Embedded GPU,27775.0
GeForce RTX 3080 Ti,27094.0
GeForce RTX 4070,26940.0
Radeon RX 6900 XT,26761.0
Radeon RX 7900 GRE,26750.0
GeForce RTX 3090,26723.0
GeForce RTX 3080 12GB,26667.0
GeForce RTX 3080,25211.0
RTX 3500 Ada Generation Embedded GPU,25189.0
GeForce RTX 4080 Laptop GPU,25113.0
Radeon RX 6800 XT,25029.0
RTX 4000 Ada Generation,24573.0
Radeon RX 7800 XT,24337.0
RTX 5000 Ada Generation Laptop GPU,24158.0
GeForce RTX 3070 Ti,23553.0
Radeon RX 7900M,22956.0
GeForce RTX 4060 Ti,22882.0
RTX A5000,22855.0
GeForce RTX 4060 Ti 16GB,22840.0
RTX 4000 Ada Generation Laptop GPU,22747.0
RTX A6000,22576.0
Radeon RX 7700 XT,22499.0
Radeon PRO W7700,22457.0
GeForce RTX 3070,22347.0
Radeon RX 6800,22182.0
NVIDIA A10,22064.0
GRID RTX6000-6Q,21987.0
RTX A5500,21966.0
GeForce RTX 2080 Ti,21719.0
RTX A4500,21602.0
Radeon RX 6750 XT,20827.0
RTX 4000 SFF Ada Generation,20796.0
GeForce RTX 3060 Ti,20470.0
TITAN RTX,20064.0
TITAN V,20019.0
Radeon RX 6700 XT,19864.0
GeForce RTX 4060,19850.0
Quadro GV100,19824.0
Radeon PRO W6800,19814.0
L40-8Q,19705.0
GeForce RTX 4070 Laptop GPU,19620.0
GeForce RTX 3080 Ti Laptop GPU,19586.0
GeForce RTX 2080 SUPER,19560.0
Radeon RX 6750 GRE 12GB,19499.0
RTX A4000,19460.0
Radeon RX 6700,19300.0
Quadro RTX 8000,19278.0
RTX 3500 Ada Generation Laptop GPU,19149.0
TITAN Xp COLLECTORS EDITION,19106.0
Radeon RX 6750 GRE 10GB,19032.0
L40S,18881.0
GeForce RTX 2080,18784.0
NVIDIA A10G,18773.0
NVIDIA TITAN Xp,18757.0
Quadro RTX 6000,18675.0
GeForce GTX 1080 Ti,18564.0
GeForce RTX 2070 SUPER,18222.0
GeForce RTX 3070 Ti Laptop GPU,17910.0
RTX 2000 Ada Generation,17877.0
A40-48Q,17864.0
GeForce RTX 4060 Laptop GPU,17621.0
Radeon Pro W5700X,17591.0
Radeon RX 6600 LE,17541.0
Radeon RX 6850M XT,17512.0
RTX A4500 Laptop GPU,17425.0
RTX A5500 Laptop GPU,17372.0
Radeon RX 6650 XT,17217.0
Radeon RX 7600 XT,17189.0
Radeon RX 6650M XT,17071.0
TITAN V CEO Edition,16988.0
GeForce RTX 3060 12GB,16963.0
Radeon 8050S,16663.0
Radeon VII,16604.0
Radeon RX 7600,16591.0
Radeon RX 5700 XT 50th Anniversary,16549.0
Radeon RX 5700 XT,16535.0
GeForce RTX 2060 SUPER,16519.0
Radeon RX 6600 XT,16516.0
GeForce RTX 3080 Laptop GPU,16477.0
Radeon 8060S,16454.0
Quadro GP100,16374.0
Tesla V100-SXM2-16GB,16235.0
GeForce RTX 2070,16142.0
RTX A5000 Laptop GPU,16138.0
RTX 3000 Ada Generation Laptop GPU,16044.0
Quadro RTX 5000,15967.0
GeForce RTX 2060 12GB,15937.0
Miracast display port driver V3,15910.0
Radeon Pro Vega II,15597.0
Radeon Pro W6800X Duo,15557.0
GeForce GTX 1080,15549.0
Radeon RX 6800S,15503.0
Radeon PRO W6600,15500.0
GeForce RTX 3070 Laptop GPU,15425.0
RTX A4000 Laptop GPU,15395.0
GeForce RTX 3060 8GB,15388.0
Quadro P6000,15308.0
Quadro RTX 4000,15300.0
RTX 2000 Ada Generation Laptop GPU,15288.0
Radeon RX 7700S,15275.0
Radeon RX 6600,15147.0
Radeon RX 6650M,15108.0
GeForce RTX 2080 (Mobile),15107.0
Radeon 610M Ryzen 9 7845HX,14990.0
Radeon RX 6700S,14978.0
Quadro RTX 5000 (Mobile),14832.0
Intel Arc B580,14826.0
Radeon RX 7600S,14819.0
Radeon Pro W5700,14805.0
GeForce GTX 1070 Ti,14695.0
NVIDIA A40,14665.0
GeForce RTX 4050 Laptop GPU,14452.0
Radeon RX 5700,14403.0
Radeon PRO W7500,14311.0
Radeon RX Vega 64,14274.0
Radeon PRO W7600,14241.0
GeForce RTX 2060,14146.0
Radeon Pro Vega II Duo,14018.0
RTX A3000 12GB Laptop GPU,14016.0
RTX 1000 Ada Generation Laptop GPU,14014.0
RadeonT RX 6850M XT,13848.0
Radeon RX 6600M,13817.0
GeForce RTX 2080 Super with Max-Q Design,13806.0
GeForce GTX 980 Ti,13805.0
RTX A2000,13695.0
RTX A2000 12GB,13689.0
GeForce RTX 2070 Super with Max-Q Design,13689.0
NVIDIA TITAN X,13660.0
Radeon RX 5600 XT,13593.0
Radeon RX 6700M,13549.0
GeForce GTX 1070,13504.0
Radeon Pro WX 8200,13410.0
Radeon Pro Vega 64X,13369.0
Quadro RTX 5000 with Max-Q Design,13360.0
GeForce RTX 3060 Laptop GPU,13344.0
Radeon RX 6800M,13280.0
Radeon RX Vega 56,13199.0
Radeon RX 7600M XT,13187.0
Radeon PRO W6600X,13113.0
Intel Arc A770,13079.0
Radeon Vega Frontier Edition,13040.0
GeForce RTX 2080 with Max-Q Design,13010.0
Radeon Pro Vega 64,12920.0
GeForce GTX TITAN X,12917.0
GeForce GTX 1660 Ti,12907.0
Radeon Pro VII,12839.0
GeForce RTX 3050 8GB,12782.0
GeForce GTX 1660 SUPER,12749.0
Tesla T10,12650.0
Radeon Pro 5700 XT,12613.0
Quadro P5000,12572.0
Quadro P5200 with Max-Q Design,12568.0
Quadro RTX 4000 with Max-Q Design,12495.0
RTX A3000 Laptop GPU,12468.0
Radeon RX 6600S,12445.0
Radeon Pro WX 9100,12361.0
GeForce RTX 2070 (Mobile),12354.0
Radeon Pro Vega 56,12354.0
Tesla V100-PCIE-16GB,12328.0
Quadro RTX 4000 (Mobile),12294.0
Radeon RX 6850M,12274.0
Radeon Pro V520 MxGPU,12258.0
Radeon RX 5600 OEM,12137.0
Quadro P5200,12136.0
Intel Arc A750,12099.0
GeForce RTX 3050 OEM,11937.0
Quadro M6000 24GB,11872.0
Radeon Pro 5700,11844.0
Intel Arc A770M,11800.0
Quadro M6000,11759.0
Tesla P40,11752.0
Intel Arc A580,11717.0
GeForce GTX 1660,11670.0
GeForce RTX 2070 with Max-Q Design,11629.0
Quadro P4000,11627.0
L4,11519.0
Radeon RX 5600,11490.0
GeForce GTX 1080 with Max-Q Design,11452.0
Quadro P4200 with Max-Q Design,11447.0
RTX A1000 Embedded GPU,11369.0
GeForce RTX 2060 (Mobile),11355.0
Radeon Pro Vega 48,11300.0
Quadro RTX 3000,11109.0
GeForce GTX 980,11104.0
GRID P40-12Q,11028.0
Radeon Pro SSG,10972.0
RTX 500 Ada Generation Laptop GPU,10968.0
RTX A4500 Embedded GPU,10916.0
RTX A2000 8GB Laptop GPU,10891.0
RTX A1000,10806.0
Tesla T4,10744.0
GeForce RTX 3050 6GB,10693.0
Quadro P4200,10491.0
Intel Arc A730M,10488.0
GeForce GTX 1070 (Mobile),10465.0
Tesla M40,10465.0
Tesla M40 24GB,10418.0
SuperDisplay Virtual Adapter,10390.0
GeForce RTX 3050 6GB Laptop GPU,10339.0
GeForce GTX 1660 Ti (Mobile),10171.0
GeForce GTX 1650 SUPER,10166.0
GeForce RTX 3050 Ti Laptop GPU,10137.0
RTX A1000 6GB Laptop GPU,10095.0
GeForce GTX 1060,10074.0
GeForce GTX 1070 with Max-Q Design,9934.0
RTX A2000 Laptop GPU,9906.0
GRID P40-2B,9842.0
GeForce GTX 1060 3GB,9769.0
GeForce RTX 2060 with Max-Q Design,9757.0
Radeon R9 Fury + Fury X,9741.0
GeForce GTX 970,9636.0
Radeon RX 6550M,9605.0
Radeon R9 Fury X,9576.0
Radeon R9 Fury,9571.0
Radeon RX 6500 XT,9568.0
RTX A1000 Laptop GPU,9528.0
GeForce GTX 780 Ti,9527.0
Radeon PRO W6600M,9522.0
GeForce RTX 3050 Laptop GPU,9465.0
Ryzen 9 4900HSS with Radeon Graphics,9461.0
Radeon R9 390X,9412.0
Radeon RX 590,9392.0
Quadro M5000,9361.0
Quadro P2200,9335.0
Intel Arc Pro A60,9301.0
Radeon Pro 5600M,9233.0
GeForce RTX 3050 A Laptop GPU,9215.0
Quadro P3200 with Max-Q Design,9212.0
Radeon RX 5500 XT,9134.0
Radeon Pro W5500,9122.0
GRID P40-2B4,9111.0
Quadro P4000 with Max-Q Design,9083.0
GeForce GTX 1060 5GB,9076.0
GeForce GTX TITAN Black,8951.0
Tesla P4,8920.0
Radeon R9 390,8905.0
GeForce GTX TITAN Z,8905.0
Radeon RX 580,8853.0
Radeon RX 5600M,8796.0
Radeon RX 5500,8782.0
Quadro P3200,8762.0
GRID P40-24Q,8719.0
Radeon RX590 GME,8612.0
Radeon R9 290X,8611.0
Radeon RX 480,8609.0
Radeon R9 295X2,8608.0
GeForce GTX 1660 Ti with Max-Q Design,8589.0
GRID RTX6000-1B,8473.0
Radeon 890M,8431.0
Radeon R9 290X / 390X,8389.0
Radeon Pro 5500 XT,8375.0
Ryzen 5 4600HS with Radeon Graphics,8371.0
Radeon R9 290,8281.0
Quadro RTX 3000 with Max-Q Design,8279.0
Tesla V100-PCIE-32GB,8260.0
GeForce GTX Titan,8194.0
Radeon Pro Duo,8183.0
GeForce GTX 1060 (Mobile),8161.0
Radeon R9 290 / 390,8150.0
CMP 30HX,8136.0
EIZO Quadro MED-XN72,8101.0
Quadro K6000,8060.0
Radeon PRO W6400,8027.0
GeForce GTX 780,8011.0
Ryzen 9 6900HS,8005.0
Radeon RX 470/570,7996.0
Quadro M5500,7915.0
GeForce GTX 1060 with Max-Q Design,7903.0
Radeon RX 780,7898.0
GeForce GTX 1650,7874.0
Radeon Pro WX 7100,7825.0
T1200 Laptop GPU,7797.0
Radeon RX 6500M,7765.0
Radeon Pro 580,7753.0
Radeon 880M,7734.0
GeForce RTX 2050,7707.0
Radeon RX 580 2048SP,7681.0
T1000,7655.0
Radeon RX 6500,7649.0
Radeon RX 6400,7627.0
T1000 8GB,7610.0
Radeon RX 5300,7588.0
FirePro W9100,7580.0
Tesla M60,7551.0
Radeon Pro 580X,7540.0
GeForce GTX 1650 Ti,7539.0
CMP 40HX,7452.0
GRID P40-8Q,7432.0
Ryzen 9 4900HS with Radeon Graphics,7419.0
GeForce GTX 980M,7358.0
Radeon Pro W5500X,7351.0
FirePro W8100,7333.0
Tesla P100-PCIE-16GB,7225.0
Quadro T2000,7209.0
Radeon Ryzen 9 6900HS,7184.0
Radeon Pro 5300,7144.0
RadeonT 780M,7103.0
T600 Laptop GPU,7077.0
Radeon 780M,7059.0
A10-8Q,7042.0
Quadro M5000M,7004.0
Ryzen 7 4800HS with Radeon Graphics,6999.0
